clade_name	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample1	Sample20	Sample21	Sample22	Sample23	Sample24	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Flavonifractor	0.0	0.0	0.0256	0.00655	0.0	0.0	0.03017	0.00241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00086	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella	0.0	0.0	0.00816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1634	0.07237	0.0	0.09986	0.0	0.0	0.0	0.0	1.07114	0.0	0.0	0.0
k__Bacteria;p__Fusobacteria;c__CFGB76370;o__OFGB76370;f__FGB76370;g__GGB79751	0.0	0.0	0.0	2.70937	0.0941	0.20906	0.12165	0.0	3.3435	0.00898	0.0	0.0	0.02659	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__GGB37269	0.0	0.0	0.0	2.60784	0.11407	0.18692	0.37283	0.0	9.37677	0.0	0.03901	0.0	0.03192	0.0	0.25997	0.0	0.74696	0.0	0.0	0.0	0.0	0.00594	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	0.0	0.0	0.0	2.40067	0.03185	0.04119	0.0	0.0	0.0978	0.0	0.4944	0.0	0.0	0.0	0.44753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__GGB79666	0.0	0.0	0.0	1.95116	0.12255	1.36496	0.41399	0.0	0.0	0.0	0.15543	0.0	0.03465	0.0	0.09507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__GGB38162	0.0	0.0	0.0	1.67411	0.11036	0.07613	0.0033	0.0	0.52227	0.0	0.0	0.0	0.0	0.0	0.08253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella	0.0	0.0	0.0	1.55454	3.11153	2.29461	1.62019	0.81865	0.15717	9.98757	0.0	0.0	1.92523	4.87496	7.19527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__CFGB24868;o__OFGB24868;f__FGB24868;g__GGB44117	0.0	0.0	0.0	1.35559	0.09852	0.14977	0.0	0.0	0.33029	0.00394	0.01391	0.0	0.0	0.0	0.20833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__GGB72452	0.0	0.0	0.0	1.29926	4.5113	1.78425	2.03247	0.0	0.38645	0.0	0.33603	0.0	0.0	0.49612	2.36495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
